,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
198,Murray State,6,4,2,.667,1.26,-3.74,,1,0,,4,0,,0,2,,553,414,,240,226,399,.566,42,115,.365,59,84,.702,65,271,120,43,23,98,105
199,Navy,4,3,1,.750,3.25,5.75,,0,0,,1,0,,1,1,,281,291,,160,110,237,.464,29,89,.326,32,45,.711,33,120,49,25,5,39,56
200,Omaha,9,2,7,.222,-10.99,6.12,,0,0,,0,0,,1,5,,559,713,,360,207,542,.382,38,142,.268,107,156,.686,84,320,80,56,21,141,175
201,Nebraska,7,4,3,.571,4.31,-2.02,,0,0,,4,2,,0,1,,571,487,,280,196,449,.437,66,203,.325,113,171,.661,88,300,108,64,23,93,120
202,Nevada-Las Vegas,5,1,4,.200,-4.77,4.43,,0,0,,0,1,,1,0,,344,390,,200,122,294,.415,55,154,.357,45,64,.703,40,156,60,34,10,69,104
203,Nevada,9,6,3,.667,-2.63,-4.63,,1,1,,3,2,,2,1,,643,605,,360,222,500,.444,65,194,.335,134,189,.709,78,347,130,47,27,128,163
204,New Hampshire,3,1,2,.333,-10.26,-3.26,,0,0,,1,1,,0,1,,236,211,,120,87,221,.394,23,78,.295,39,53,.736,43,140,40,23,7,34,59
205,New Mexico State,2,2,0,1.000,,,,0,0,,1,0,,1,0,,175,131,,80,66,128,.516,17,51,.333,26,34,.765,23,84,32,14,6,27,42
206,New Mexico,3,3,0,1.000,5.54,-5.46,,0,0,,1,0,,1,0,,266,184,,120,107,216,.495,16,52,.308,36,60,.600,65,176,49,21,16,44,38
207,New Orleans,7,1,6,.143,-18.04,-4.21,,0,0,,0,1,,0,4,,454,520,,280,175,397,.441,26,101,.257,78,111,.703,64,244,98,43,14,138,150
208,Niagara,5,2,3,.400,-6.01,-3.41,,2,2,,2,0,,0,3,,297,310,,200,105,273,.385,34,108,.315,53,85,.624,40,161,59,30,8,60,80
209,Nicholls State,5,2,3,.400,-12.08,-7.48,,0,0,,0,0,,0,3,,327,350,,200,118,307,.384,35,104,.337,56,78,.718,49,166,57,43,13,69,110
210,NJIT,1,0,1,.000,0.00,12.00,,0,0,,0,0,,0,1,,60,72,,40,23,67,.343,5,18,.278,9,12,.750,11,33,10,5,0,10,22
211,Norfolk State,6,3,3,.500,-7.81,-5.47,,0,0,,1,2,,1,1,,401,415,,240,138,315,.438,38,95,.400,87,132,.659,43,206,61,36,21,72,123
212,North Alabama,6,4,2,.667,-18.38,1.62,,0,0,,4,1,,0,1,,495,370,,240,180,410,.439,52,167,.311,83,124,.669,88,278,82,50,23,72,99
213,North Carolina-Asheville,6,3,3,.500,0.06,-4.44,,2,0,,3,2,,0,1,,462,435,,250,175,357,.490,49,142,.345,63,112,.563,62,224,91,47,33,101,122
214,North Carolina A&T,11,3,8,.273,-12.51,1.49,,0,0,,1,3,,1,5,,772,866,,445,276,668,.413,80,239,.335,140,207,.676,103,361,151,87,31,159,204
215,North Carolina Central,4,1,3,.250,-2.97,6.03,,0,0,,0,0,,0,3,,290,326,,165,102,227,.449,28,77,.364,58,78,.744,28,121,49,26,7,60,100
216,North Carolina-Greensboro,7,4,3,.571,-1.83,-3.68,,0,0,,2,0,,1,1,,492,479,,280,180,451,.399,47,185,.254,85,129,.659,103,294,82,50,31,109,154
217,North Carolina State,5,4,1,.800,18.61,-2.99,,0,0,,3,0,,0,1,,409,301,,200,156,317,.492,40,106,.377,57,85,.671,51,170,79,58,25,56,89
218,North Carolina-Wilmington,7,4,3,.571,-3.18,-1.01,,0,0,,1,0,,2,2,,557,520,,285,186,410,.454,60,158,.380,125,169,.740,69,235,88,52,26,92,128
219,North Carolina,7,5,2,.714,14.24,6.67,,0,0,,2,0,,0,1,,519,466,,280,181,417,.434,29,109,.266,128,192,.667,112,318,89,41,34,110,125
220,North Dakota State,7,2,5,.286,-1.96,4.47,,0,0,,0,0,,0,3,,426,471,,280,150,385,.390,41,138,.297,85,110,.773,65,256,57,25,17,95,110
221,North Dakota,8,1,7,.125,-6.86,1.40,,0,0,,0,0,,0,5,,510,576,,320,186,444,.419,57,186,.306,81,128,.633,75,261,97,40,11,114,137
222,North Florida,9,1,8,.111,-10.89,2.86,,0,0,,1,2,,0,5,,599,716,,360,213,512,.416,89,250,.356,84,117,.718,90,311,126,38,34,154,156
223,North Texas,6,3,3,.500,7.90,-4.76,,0,0,,3,0,,0,3,,449,373,,240,169,347,.487,50,122,.410,61,88,.693,54,214,89,45,14,81,97
224,Northeastern,4,1,3,.250,7.24,12.74,,0,0,,1,0,,0,3,,275,297,,160,93,213,.437,28,86,.326,61,79,.772,28,135,56,27,4,62,75
225,Northern Arizona,4,0,4,.000,-28.83,1.67,,0,1,,0,2,,0,2,,219,341,,160,73,221,.330,21,85,.247,52,78,.667,32,104,36,20,7,47,73
226,Northern Colorado,5,3,2,.600,-11.70,1.97,,0,0,,2,0,,1,2,,348,339,,200,125,274,.456,40,111,.360,58,89,.652,41,184,53,16,17,80,83
227,Northern Illinois,6,1,5,.167,-18.94,-1.27,,0,1,,1,3,,0,2,,360,466,,245,138,352,.392,22,92,.239,62,94,.660,78,222,65,27,16,91,105
228,Northern Iowa,5,1,4,.200,-1.69,5.57,,0,0,,1,0,,0,1,,388,372,,200,145,317,.457,54,138,.391,44,62,.710,35,164,64,28,9,62,87
229,Northern Kentucky,7,3,4,.429,-2.00,0.43,,1,1,,3,1,,0,3,,492,509,,280,182,426,.427,50,174,.287,78,125,.624,103,248,86,51,9,91,114
230,Northwestern State,8,1,7,.125,-16.77,2.51,,0,0,,1,1,,0,5,,556,658,,325,204,532,.383,64,189,.339,84,130,.646,94,319,103,43,17,113,164
231,Northwestern,5,4,1,.800,17.55,-7.70,,1,0,,4,1,,0,0,,452,299,,200,150,316,.475,57,131,.435,95,129,.736,53,225,104,26,16,52,86
232,Notre Dame,6,2,4,.333,3.15,7.49,,0,1,,1,2,,1,1,,440,466,,240,151,346,.436,62,151,.411,76,93,.817,49,200,89,22,23,68,79
233,Oakland,9,0,9,.000,-13.74,8.04,,0,2,,0,0,,0,7,,590,786,,365,198,559,.354,75,259,.290,119,188,.633,103,296,101,85,11,124,127
234,Ohio State,7,6,1,.857,10.46,-1.11,,0,1,,4,0,,1,1,,539,458,,280,177,402,.440,51,152,.336,134,174,.770,86,254,89,40,26,64,115
235,Ohio,6,4,2,.667,11.21,-3.59,,0,0,,2,0,,1,2,,503,409,,240,181,359,.504,50,136,.368,91,143,.636,64,220,109,46,17,84,100
236,Oklahoma State,8,6,2,.750,9.99,3.49,,0,2,,3,1,,3,1,,614,562,,320,220,491,.448,51,167,.305,123,180,.683,97,331,102,54,31,116,132
237,Oklahoma,6,5,1,.833,10.24,-3.93,,1,0,,4,0,,1,1,,512,427,,240,182,380,.479,52,144,.361,96,117,.821,66,232,98,40,20,63,78
238,Old Dominion,5,3,2,.600,3.00,6.00,,0,0,,2,0,,1,2,,353,368,,200,129,293,.440,29,101,.287,66,87,.759,47,173,67,32,15,59,86
239,Oral Roberts,8,3,5,.375,3.03,15.43,,0,0,,3,0,,0,5,,663,611,,320,233,542,.430,97,269,.361,100,125,.800,88,327,120,49,30,104,151
240,Oregon State,6,3,3,.500,-7.23,-9.63,,1,1,,3,2,,0,1,,472,388,,245,162,365,.444,43,119,.361,105,141,.745,75,245,105,39,31,71,107
241,Oregon,7,6,1,.857,16.20,2.63,,1,0,,4,0,,1,0,,542,447,,280,207,428,.484,46,145,.317,82,119,.689,80,275,104,56,33,97,108
242,Pacific,3,2,1,.667,-4.89,-4.23,,0,0,,2,0,,0,1,,198,200,,125,71,193,.368,15,57,.263,41,69,.594,43,108,34,22,9,26,53
243,Penn State,5,3,2,.600,20.63,13.83,,0,1,,2,1,,1,1,,383,349,,205,138,328,.421,52,138,.377,55,75,.733,61,182,72,45,17,54,100
244,Pennsylvania,0,0,0,,,,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,
245,Pepperdine,8,4,4,.500,2.14,2.97,,0,0,,3,2,,0,1,,650,583,,335,233,482,.483,57,186,.306,127,149,.852,61,288,147,48,29,111,160
246,Pittsburgh,6,5,1,.833,10.70,0.37,,1,0,,3,1,,2,0,,450,388,,240,162,367,.441,41,130,.315,85,134,.634,86,267,100,42,27,89,119
247,Portland State,5,2,3,.400,-16.92,-4.92,,1,1,,2,1,,0,2,,361,369,,200,123,331,.372,33,132,.250,82,111,.739,81,220,60,43,14,82,118
248,Portland,7,5,2,.714,-15.25,-6.00,,0,0,,4,1,,1,1,,531,539,,285,177,403,.439,41,130,.315,136,181,.751,54,233,82,51,18,105,113
249,Prairie View,3,1,2,.333,-8.01,-0.01,,0,0,,0,0,,0,1,,194,218,,120,72,168,.429,22,60,.367,28,46,.609,42,97,36,27,5,49,67
250,Presbyterian,3,2,1,.667,-20.13,-16.63,,0,0,,2,0,,0,1,,212,180,,120,77,187,.412,18,63,.286,40,58,.690,37,125,33,21,9,47,69
251,Princeton,0,0,0,,,,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,
