,Date,visitor_neutral,PTS,home_neutral,PTS
53,2020-11-28,VMI,65,Penn State,86
54,2020-11-28,Western Carolina,83,UNC Asheville,81
55,2020-11-28,William Jessup,73,Portland,83
56,2020-11-28,William & Mary,78,Old Dominion,86
0,2020-11-29,Baylor,86,Washington,52
1,2020-11-29,Richmond,76,Kentucky,64
2,2020-11-29,North Dakota State,58,Creighton,69
3,2020-11-29,Texas Tech,53,Houston,64
4,2020-11-29,Houston Baptist,77,Arizona State,100
5,2020-11-29,UMass-Lowell,64,Ohio State,74
6,2020-11-29,Hofstra,56,Rutgers,70
7,2020-11-29,Oakland,71,Michigan,81
8,2020-11-29,Alabama A&M,78,Samford,76
9,2020-11-29,Arkansas-Pine Bluff,63,Iowa State,80
10,2020-11-29,Arkansas State,61,Morehead State,69
11,2020-11-29,Boise State,86,Sam Houston State,55
12,2020-11-29,Florida A&M,75,Georgia,85
13,2020-11-29,Greenville,95,Murray State,173
14,2020-11-29,Jacksonville State,77,South Alabama,73
15,2020-11-29,Liberty,52,TCU,56
16,2020-11-29,Lipscomb,66,Tulane,68
17,2020-11-29,Mount St. Mary's,61,Maryland,79
18,2020-11-29,New Mexico State,83,Arizona Christian,77
19,2020-11-29,New Orleans,53,Texas A&M,82
20,2020-11-29,North Florida,59,Miami (FL),77
21,2020-11-29,Northwest University,69,Portland,74
22,2020-11-29,Northwestern State,77,Louisiana Tech,91
23,2020-11-29,Our Lady of the Lake,71,Incarnate Word,84
24,2020-11-29,Prairie View,64,Louisville,86
25,2020-11-29,Radford,59,James Madison,67
26,2020-11-29,San Francisco,71,Rhode Island,84
27,2020-11-29,Seattle,63,Air Force,45
28,2020-11-29,South Carolina,69,Tulsa,58
29,2020-11-29,South Florida,58,Virginia Tech,76
30,2020-11-29,St. Katherine,55,UCSB,92
0,2020-11-30,UNC,78,UNLV,51
1,2020-11-30,Texas,78,Davidson,76
2,2020-11-30,Little Rock,76,Duquesne,66
3,2020-11-30,Auburn,55,UCF,63
4,2020-11-30,Bowling Green State,78,Appalachian State,76
5,2020-11-30,Chattanooga,62,Tennessee Tech,54
6,2020-11-30,Eastern Kentucky,96,Xavier,99
7,2020-11-30,Emmanuel,64,Stetson,61
8,2020-11-30,Fairleigh Dickinson,58,Hofstra,73
9,2020-11-30,Georgia State,69,Mercer,86
10,2020-11-30,Indiana,79,Providence,58
11,2020-11-30,Iona,64,Seton Hall,86
12,2020-11-30,Loyola Marymount,64,Minnesota,67
13,2020-11-30,UMKC,58,Kansas State,62
14,2020-11-30,Mobile,66,Jacksonville State,85
15,2020-11-30,Nicholls State,49,California,60
16,2020-11-30,Pacific,58,Nevada,70
17,2020-11-30,Piedmont,58,Western Carolina,96
18,2020-11-30,Seattle,65,Cal State Northridge,76
19,2020-11-30,Southeastern Louisiana,43,LSU,96
20,2020-11-30,St. Andrews,51,Campbell,85
21,2020-11-30,St. John's (NY),97,Boston College,93
22,2020-11-30,Stanford,82,Alabama,64
23,2020-11-30,Texas A&M-Corpus Christi,54,SMU,91
24,2020-11-30,Texas Southern,76,Wyoming,74
25,2020-11-30,Texas State,51,Mississippi State,68
0,2020-12-01,Green Bay,42,Wisconsin,82
1,2020-12-01,Michigan State,75,Duke,69
2,2020-12-01,Kansas,65,Kentucky,62
3,2020-12-01,Omaha,67,Creighton,94
4,2020-12-01,Villanova,87,Hartford,53
5,2020-12-01,UNC,67,Stanford,63
6,2020-12-01,Saint Francis (PA),51,Virginia,76
7,2020-12-01,Texas,66,Indiana,44
8,2020-12-01,Benedictine,54,New Mexico State,92
9,2020-12-01,Bryant,93,New Hampshire,85
10,2020-12-01,UC-Riverside,57,Washington,42
11,2020-12-01,Central Michigan,76,Florida International,96
12,2020-12-01,Cleveland State,61,Toledo,70
13,2020-12-01,Covenant,73,Samford,98
14,2020-12-01,Davidson,62,Providence,63
15,2020-12-01,Eastern Illinois,63,Dayton,66
16,2020-12-01,Emmanuel,47,South Alabama,86
17,2020-12-01,Hampton,82,George Washington,78
18,2020-12-01,Howard Payne,51,Abilene Christian,81
19,2020-12-01,Judson,32,Bradley,105
20,2020-12-01,LeTourneau,57,Stephen F. Austin,102
21,2020-12-01,Lincoln (PA),94,Morgan State,102
22,2020-12-01,Longwood,71,VMI,84
23,2020-12-01,Mississippi Valley State,49,Grand Canyon,88
24,2020-12-01,Navy,78,Georgetown,71
25,2020-12-01,UNLV,74,Alabama,86
26,2020-12-01,Nicholls State,50,Saint Mary's,73
27,2020-12-01,North Carolina A&T,70,Charleston Southern,63
28,2020-12-01,North Carolina Wesleyan,62,East Carolina,91
29,2020-12-01,Oakland,50,Purdue,93
30,2020-12-01,Oklahoma State,70,Marquette,62
31,2020-12-01,South Dakota,69,Nebraska,76
32,2020-12-01,USC,79,BYU,53
33,2020-12-01,Stony Brook,68,St. Peter's,82
34,2020-12-01,Valparaiso,50,UIC,66
35,2020-12-01,Western Kentucky,54,Louisville,75
36,2020-12-01,Winthrop,75,UNC Greensboro,67
0,2020-12-02,West Virginia,82,Gonzaga,87
1,2020-12-02,Illinois,69,Baylor,82
2,2020-12-02,Texas,69,UNC,67
3,2020-12-02,Oregon,75,Missouri,83
4,2020-12-02,North Florida,58,Florida State,86
5,2020-12-02,Morehead State,44,Ohio State,77
6,2020-12-02,Arkansas-Pine Bluff,49,Northwestern,92
7,2020-12-02,Arkansas State,54,Memphis,83
8,2020-12-02,Army,69,Florida,76
9,2020-12-02,Ball State,65,Michigan,84
10,2020-12-02,Cal State Bakersfield,47,Santa Clara,53
11,2020-12-02,Dallas Christian,37,McNeese State,140
12,2020-12-02,Davidson,77,UNLV,73
13,2020-12-02,Eastern Kentucky,95,USC Upstate,78
14,2020-12-02,Evansville,87,UT-Martin,93
15,2020-12-02,Flagler,92,Central Michigan,73
16,2020-12-02,Florida Gulf Coast,57,South Florida,76
17,2020-12-02,Greenville,108,Illinois State,177
18,2020-12-02,Hartford,66,Fairfield,61
19,2020-12-02,Houston Baptist,75,SMU,102
20,2020-12-02,Incarnate Word,83,Wyoming,94
21,2020-12-02,Indiana,79,Stanford,63
22,2020-12-02,Kennesaw State,48,Alabama-Birmingham,73
23,2020-12-02,La Sierra,54,UC-Irvine,104
24,2020-12-02,Lipscomb,55,Cincinnati,67
25,2020-12-02,Louisiana,66,New Orleans,63
26,2020-12-02,Montana State,70,Pacific,74
27,2020-12-02,Murray State,61,Middle Tennessee,78
28,2020-12-02,UNC Greensboro,68,Duquesne,81
29,2020-12-02,North Dakota,73,Dixie State,74
30,2020-12-02,North Georgia,62,Georgia,84
31,2020-12-02,Old Dominion,80,Norfolk State,66
32,2020-12-02,Oral Roberts,80,Wichita State,85
33,2020-12-02,Oregon State,55,Washington State,59
34,2020-12-02,Point Park,41,Kent State,90
35,2020-12-02,Presbyterian,65,Jacksonville,78
36,2020-12-02,Providence,71,Alabama,88
37,2020-12-02,Quinnipiac,48,Drexel,66
38,2020-12-02,San Francisco,85,Nevada,60
39,2020-12-02,Seton Hall,63,Rhode Island,76
40,2020-12-02,South Carolina State,38,Clemson,75
41,2020-12-02,South Dakota State,71,Iowa State,68
42,2020-12-02,Southeastern Louisiana,81,California Baptist,80
43,2020-12-02,Southern Illinois,87,Southeast Missouri State,79
44,2020-12-02,SIU-Edwardsville,73,Northern Illinois,53
45,2020-12-02,Southern Wesleyan,49,Furman,89
46,2020-12-02,St. John's (NY),68,BYU,74
47,2020-12-02,St. Katherine,41,San Diego State,83
48,2020-12-02,Tarleton State,66,Texas A&M,73
49,2020-12-02,Tennessee Tech,48,Xavier,79
50,2020-12-02,Texas A&M-Corpus Christi,59,Texas-Rio Grande Valley,62
51,2020-12-02,Texas-Arlington,60,Arkansas,72
52,2020-12-02,VCU,69,Penn State,72
53,2020-12-02,Westminster (UT),71,Utah Valley,79
54,2020-12-02,William Carey,53,Southern Miss,80
0,2020-12-03,Western Illinois,58,Iowa,99
1,2020-12-03,Washburn,54,Kansas,89
2,2020-12-03,VMI,57,Virginia Tech,64
3,2020-12-03,Arizona State,70,California,62
4,2020-12-03,Bethesda University (CA),52,UCSB,123
5,2020-12-03,Chicago State,56,Eastern Illinois,78
6,2020-12-03,Columbia International,56,Coastal Carolina,113
7,2020-12-03,UConn,61,USC,58
8,2020-12-03,East Texas Baptist,59,Grambling,68
9,2020-12-03,Florida,90,Boston College,70
10,2020-12-03,Florida National University,64,Florida Atlantic,128
11,2020-12-03,Idaho,55,Sacramento State,77
12,2020-12-03,LeTourneau,74,Rice,94
13,2020-12-03,Louisiana-Monroe,62,Louisiana Tech,78
14,2020-12-03,Marshall,80,Wright State,64
15,2020-12-03,UMass-Lowell,59,NC State,90
16,2020-12-03,Montana,63,Southern Utah,64
17,2020-12-03,Omaha,66,Drake,87
18,2020-12-03,Newberry,84,Western Carolina,91
19,2020-12-03,Niagara,45,Syracuse,75
20,2020-12-03,North Carolina A&T,70,Citadel,78
21,2020-12-03,Northwestern State,68,TCU,74
22,2020-12-03,Purdue Northwest,67,Bowling Green State,88
23,2020-12-03,Quinnipiac,58,Drexel,70
24,2020-12-03,Saint Francis (PA),62,Liberty,78
25,2020-12-03,Seattle,52,UCLA,78
26,2020-12-03,St. Katherine,45,Pepperdine,94
27,2020-12-03,Tennessee Tech,65,Northern Kentucky,74
28,2020-12-03,UTSA,66,Oklahoma,105
29,2020-12-03,Texas Southern,70,Saint Mary's,82
