,Date,Home,Away,Line
12,2020-12-02 18:00:00,Illinois St.,Greenville,
13,2020-12-02 18:00:00,Duquesne,UNC Greensboro,-1
14,2020-12-02 19:00:00,Gonzaga,West Virginia,-8.5
15,2020-12-02 19:00:00,Michigan,Ball St.,-15.5
16,2020-12-02 19:00:00,Alabama,Providence,-2.5
17,2020-12-02 19:00:00,Georgia,North Georgia,
18,2020-12-02 19:00:00,Central Michigan,Flagler College,
19,2020-12-02 19:00:00,Fairfield,Hartford,-3.5
20,2020-12-02 19:00:00,Furman,Southern Wesleyan,
21,2020-12-02 19:00:00,Rhode Island,Seton Hall,1.5
22,2020-12-02 19:00:00,Texas A&M,Tarleton State,-25.5
23,2020-12-02 19:00:00,Xavier,Tennessee Tech,-23
24,2020-12-02 19:00:00,Northern Illinois,SIU Edwardsville,-9
25,2020-12-02 19:00:00,Jacksonville,Presbyterian,-10
26,2020-12-02 19:00:00,Iowa State,South Dakota State,-1.5
27,2020-12-02 19:00:00,Wichita St.,Oral Roberts,-10
28,2020-12-02 19:30:00,SE Missouri St.,Southern Illinois,4.5
29,2020-12-02 19:30:00,UAB,Kennesaw St.,-25
30,2020-12-02 19:30:00,McNeese St.,Dallas Christian,
31,2020-12-02 19:30:00,Middle Tennessee St.,Murray St.,8
32,2020-12-02 19:30:00,Drexel,Quinnipiac,-6
33,2020-12-02 20:00:00,New Orleans,UL Lafayette,5.5
34,2020-12-02 20:00:00,Utah Valley,Westminster (UT),
35,2020-12-02 20:00:00,Southern Methodist,Houston Baptist,-32.5
36,2020-12-02 20:00:00,Southern Miss,William Carey,
37,2020-12-02 20:00:00,Texas Rio Grande Valley,Texas A&M-CC,-9.5
38,2020-12-02 20:00:00,Norfolk State,Old Dominion,7
39,2020-12-02 20:00:00,Memphis,Arkansas St.,-20
40,2020-12-02 20:00:00,Florida State,North Florida,-25.5
41,2020-12-02 20:00:00,Tenn-Martin,Evansville,3.5
42,2020-12-02 21:00:00,Dixie State,North Dakota,-3
43,2020-12-02 21:00:00,Northwestern,Arkansas-Pine Bluff,-28.5
44,2020-12-02 21:00:00,Nevada,San Francisco,-3
45,2020-12-02 21:00:00,Missouri,Oregon,3.5
46,2020-12-02 21:00:00,San Diego St.,St. Katherine,
47,2020-12-02 21:00:00,UC Irvine,La Sierra University,
48,2020-12-02 21:00:00,Arkansas,Texas-Arlington,-14.5
49,2020-12-02 21:00:00,Wyoming,Incarnate Word,-17
50,2020-12-02 21:30:00,Santa Clara,CSU Bakersfield,
51,2020-12-02 21:30:00,UNLV,Davidson,6.5
52,2020-12-02 22:00:00,Baylor,Illinois,-5
53,2020-12-02 22:00:00,California Baptist,Southeastern Louisiana,-9
54,2020-12-02 22:00:00,Washington St.,Oregon St.,2.5
55,2020-12-02 24:59:59,NJIT,Fairleigh Dickinson,
56,2020-12-02 24:59:59,UC Riverside,Bethesda,
57,2020-12-02 14:00:00,Villanova,Saint Joseph's,
58,2020-12-02 16:00:00,Howard,La Salle,7
59,2020-12-02 19:00:00,UMBC,Delaware,
60,2020-12-02 20:00:00,Arizona,Colorado,
0,2020-12-03 14:00:00,Drexel,Quinnipiac,-7
1,2020-12-03 15:00:00,Rice,Le Tourneau,
2,2020-12-03 15:00:00,Eastern Illinois,Chicago St.,-26
3,2020-12-03 16:00:00,Little Rock,Winthrop,-1.5
4,2020-12-03 16:30:00,NC State,Massachusetts Lowell,-16.5
5,2020-12-03 18:00:00,Coastal Carolina,Columbia International,
6,2020-12-03 18:00:00,Northern Kentucky,Tennessee Tech,-13
7,2020-12-03 18:00:00,Utah,Washington,-7.5
8,2020-12-03 19:00:00,Florida Atlantic,Florida National,
9,2020-12-03 19:00:00,Liberty,St. Francis (PA),-11
10,2020-12-03 19:00:00,The Citadel,North Carolina A&T,1
11,2020-12-03 19:00:00,Wright St.,Marshall,1
12,2020-12-03 19:00:00,Southern California,Connecticut,1.5
13,2020-12-03 19:00:00,Bowling Green,Purdue Northwest,
14,2020-12-03 19:00:00,Western Carolina,Newberry,
15,2020-12-03 19:30:00,Louisiana Tech,UL Monroe,-13
16,2020-12-03 20:00:00,Texas Christian,Northwestern St.,-18.5
17,2020-12-03 20:00:00,UCLA,Seattle,-20
