,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
275,Seton Hall,23,18,5,.783,17.67,8.80,10,1,9,2,7,2,1708,1504,,920,598,1342,.446,175,531,.330,337,484,.696,235,869,328,171,151,313,431
276,Siena,21,11,10,.524,-2.17,-4.60,7,5,10,0,1,10,1540,1489,,855,542,1206,.449,141,401,.352,315,452,.697,239,773,269,123,59,286,369
277,South Alabama,25,14,11,.560,-0.75,-0.61,7,7,7,5,5,5,1793,1710,,1005,628,1347,.466,134,412,.325,403,549,.734,213,823,277,188,89,301,409
278,South Carolina State,22,10,12,.455,-15.06,-7.51,5,5,7,2,3,10,1564,1676,,890,541,1228,.441,120,378,.317,362,475,.762,220,772,253,95,38,320,387
279,South Carolina Upstate,26,11,15,.423,-12.39,-5.26,6,7,8,4,3,11,1803,1915,,1040,640,1493,.429,170,534,.318,353,510,.692,252,863,306,158,63,329,488
280,South Carolina,23,14,9,.609,9.24,4.59,6,4,9,4,5,3,1644,1537,,920,601,1371,.438,137,435,.315,305,494,.617,266,856,327,178,102,311,525
281,South Dakota State,26,18,8,.692,2.94,-3.82,9,2,13,0,5,8,2006,1803,,1050,740,1514,.489,192,543,.354,334,476,.702,256,1006,366,133,85,347,429
282,South Dakota,26,18,8,.692,-1.19,-3.93,8,3,11,1,5,6,2080,1905,,1040,724,1466,.494,196,489,.401,436,565,.772,166,847,365,122,71,275,433
283,South Florida,23,11,12,.478,5.06,3.85,4,6,8,4,2,4,1446,1418,,925,502,1222,.411,149,474,.314,293,463,.633,260,779,231,184,51,342,408
284,Southeast Missouri State,25,5,20,.200,-14.32,-3.53,1,11,4,6,0,13,1637,1869,,1005,581,1385,.419,147,453,.325,328,490,.669,223,821,268,135,53,343,468
285,Southeastern Louisiana,24,6,18,.250,-16.43,-4.96,3,10,4,6,2,11,1632,1854,,975,599,1460,.410,153,519,.295,281,429,.655,259,787,297,191,43,397,509
286,Southern California,24,17,7,.708,10.36,5.99,6,5,9,2,5,4,1734,1629,,975,610,1384,.441,154,438,.352,360,530,.679,266,930,350,156,130,360,405
287,SIU Edwardsville,25,6,19,.240,-15.05,-5.44,3,9,4,7,2,12,1666,1830,,1000,623,1453,.429,137,442,.310,283,417,.679,231,840,340,142,76,351,501
288,Southern Illinois,25,15,10,.600,0.94,-0.56,9,3,11,1,3,7,1589,1525,,1005,551,1273,.433,179,523,.342,308,422,.730,169,766,301,160,46,307,365
289,Southern Methodist,22,16,6,.727,8.81,1.45,6,4,12,1,4,5,1669,1507,,900,590,1286,.459,189,543,.348,300,393,.763,266,848,369,130,71,289,339
290,Southern Mississippi,25,7,18,.280,-5.75,4.11,3,9,6,5,1,10,1676,1836,,1005,644,1450,.444,131,421,.311,257,344,.747,241,869,358,152,63,355,413
291,Southern Utah,23,14,9,.609,2.79,-2.02,7,5,8,4,5,5,1705,1474,,935,623,1354,.460,145,434,.334,314,440,.714,223,877,292,175,104,328,439
292,Southern,24,9,15,.375,-13.11,-6.57,6,5,6,1,2,14,1630,1691,,965,603,1393,.433,137,420,.326,287,426,.674,262,814,313,146,60,333,512
293,St. Bonaventure,25,17,8,.680,4.28,0.57,9,3,7,3,7,5,1724,1610,,1005,634,1454,.436,173,500,.346,283,384,.737,277,921,341,146,89,294,432
294,St. Francis (NY),24,11,13,.458,-11.30,-7.00,5,7,9,2,2,11,1680,1715,,960,619,1464,.423,158,519,.304,282,391,.721,249,861,297,152,103,306,451
295,St. John's (NY),24,13,11,.542,9.77,5.48,2,9,10,5,1,5,1799,1696,,960,654,1592,.411,153,503,.304,338,476,.710,308,951,352,240,102,287,465
296,Stanford,23,16,7,.696,13.80,4.10,5,5,12,2,2,4,1622,1399,,930,592,1256,.471,171,447,.383,267,388,.688,173,793,304,164,94,339,374
297,Stephen F. Austin,24,21,3,.875,3.40,-5.79,12,1,12,1,9,2,1931,1622,,965,686,1395,.492,142,382,.372,417,601,.694,311,876,362,253,72,427,508
298,Stetson,25,13,12,.520,-10.48,-5.40,7,3,5,5,7,6,1583,1630,,1005,565,1285,.440,145,434,.334,308,475,.648,245,868,243,154,63,344,386
299,Stony Brook,25,16,9,.640,-0.27,-3.56,7,3,8,2,6,7,1793,1667,,1010,611,1470,.416,217,628,.346,354,493,.718,288,990,290,173,122,372,427
300,Syracuse,24,14,10,.583,12.11,6.49,7,6,10,6,4,2,1775,1640,,965,605,1387,.436,207,605,.342,358,484,.740,251,860,349,181,104,276,388
301,Temple,23,12,11,.522,7.29,5.16,4,7,7,4,3,5,1592,1543,,925,563,1370,.411,161,486,.331,305,448,.681,230,869,326,189,64,304,413
302,Tennessee-Martin,23,7,16,.304,-13.01,-1.96,3,9,4,5,2,9,1757,1911,,920,621,1377,.451,178,524,.340,337,450,.749,253,756,272,121,68,294,362
303,Tennessee State,25,15,10,.600,-5.24,-4.94,7,5,9,2,4,8,1857,1815,,1005,674,1415,.476,184,518,.355,320,487,.657,273,955,347,131,112,421,528
304,Tennessee Tech,25,6,19,.240,-15.09,-3.75,3,9,3,8,3,9,1621,1830,,1010,607,1472,.412,201,610,.330,206,305,.675,265,879,339,161,80,401,383
305,Tennessee,24,14,10,.583,12.19,7.19,6,5,9,5,3,4,1611,1491,,960,557,1301,.428,147,480,.306,350,465,.753,241,852,355,146,141,317,426
306,Texas A&M-Corpus Christi,24,10,14,.417,-10.52,-5.84,6,7,7,4,3,10,1540,1605,,960,535,1249,.428,179,495,.362,289,414,.698,225,827,291,137,74,406,441
307,Texas A&M,22,11,11,.500,2.07,4.57,5,5,8,4,3,3,1333,1388,,885,446,1163,.383,121,471,.257,320,472,.678,250,784,229,141,73,315,343
